name,pred,time
0,0.027829951529887362,20230117-174632
1,0.025030768394191306,20230117-174634
2,0.02253438763681685,20230117-174636
3,0.030160823386536948,20230117-174638
4,0.02559526463966855,20230117-174640
5,0.03554239490592509,20230117-174642
6,0.03541433321519203,20230117-174644
7,0.04085165459242433,20230117-174646
8,0.022039919965974167,20230117-174648
9,0.03848436748956463,20230117-174650
10,0.03297867414859144,20230117-174652
11,0.027511943681556652,20230117-174654
12,0.025795134774663577,20230117-174656
13,0.01895856821423543,20230117-174658
14,0.018217867693583505,20230117-174700
15,0.02551319065272784,20230117-174702
16,0.021004867800016244,20230117-174704
17,0.021930515295780165,20230117-174706
18,0.01658172718720175,20230117-174708
19,0.023499241632554842,20230117-174710
20,0.026273812276192646,20230117-174712
21,0.04159762452723818,20230117-174714
